source,scraped_at,url,sku,title,currency,discount_pct,rating,review_count,image_url,category,page,position,delivery_time,delivery_fee,price_level,page_kind,info_notes,is_open,opens_at,cuisines,tags,discount_label,discount_is_upper_bound,min_order,min_order_currency,free_delivery,review_count_is_floor,is_super_vendor,slug,city,area
foodpanda.pk,2026-09-15T09:08:13.464419+00:00,https://www.foodpanda.pk/restaurant/c48s/the-cozy-cookie,c48s,The Cozy Cookie,,,,,https://foodpanda.dhmedia.io/image/fd-pk/LH/c48s-listing.jpg?width=400&height=225,Desserts,1,1,,,,area,,True,,Desserts,Free Delivery,,,,,True,,False,the-cozy-cookie,lahore,gulberg
foodpanda.pk,2026-09-15T09:08:13.468370+00:00,https://www.foodpanda.pk/restaurant/m3d7/desi-feast-taste-of-real-spices,m3d7,Desi Feast (Taste Of Real Spices),,10.0,5.0,26,https://images.deliveryhero.io/image/fd-pk/LH/m3d7-listing.jpg?width=400&height=225,Pakistani,1,4,,,,area,,True,,Pakistani,Up to 10% off | Free Delivery,Up to 10% off,True,,,True,False,False,desi-feast-taste-of-real-spices,lahore,gulberg
foodpanda.pk,2026-09-15T09:08:13.471486+00:00,https://www.foodpanda.pk/restaurant/oqyq/dumplings-bar-pk,oqyq,Dumplings Bar.pk,,,4.4,100,https://images.deliveryhero.io/image/fd-pk/LH/oqyq-listing.jpg?width=400&height=225,Chinese,1,7,,,,area,,True,,Chinese,Free Delivery,,,,,True,True,False,dumplings-bar-pk,lahore,gulberg
foodpanda.pk,2026-09-15T09:08:13.483867+00:00,https://www.foodpanda.pk/restaurant/k28l/kozi-chicken-daleem,k28l,Kozi Chicken Daleem,,15.0,4.4,500,https://images.deliveryhero.io/image/fd-pk/LH/k28l-listing.jpg?width=400&height=225,Pakistani,1,19,,,,area,In-Store Price,True,,Pakistani,15% off | Free Delivery,15% off,False,,,True,True,False,kozi-chicken-daleem,lahore,gulberg
foodpanda.pk,2026-09-15T09:08:13.498330+00:00,https://www.foodpanda.pk/restaurant/a2jf/quetta-shaheen-cafe,a2jf,Quetta Shaheen Cafe,PKR,20.0,3.8,100,https://images.deliveryhero.io/image/fd-pk/LH/a2jf-listing.jpg?width=400&height=225,Pakistani,1,31,,,,area,In-Store Price,False,Sat 13:18,Pakistani,20% off Rs. 300 | Free Delivery,20% off Rs. 300,False,300.0,PKR,True,True,False,quetta-shaheen-cafe,lahore,gulberg
